                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9851,                 6.0117,                 3.4774,                 0.0033,                0.15519,                0.00441,                0.00122,                 3.7459,                  5.676,                 2.8864,              0.0033322,              0.0033322,              0.0033322
                      2,                 3.1423,                 4.3028,                  2.581,                0.54787,                0.02714,                0.01222,                0.00318,                 3.3381,                 4.8644,                  2.484,              0.0065995,              0.0065995,              0.0065995
                      3,                 2.9965,                 3.8328,                 2.3939,                0.40713,                0.03282,                0.02475,                0.00688,                 3.2765,                 4.0944,                 2.3857,              0.0098009,              0.0098009,              0.0098009
                      4,                  2.911,                 3.6957,                 2.2966,                0.45372,                0.06578,                0.02875,                 0.0091,                 3.1326,                 3.8105,                 2.2804,               0.009703,               0.009703,               0.009703
                      5,                 2.8407,                 3.5424,                 2.2169,                0.58381,                0.07541,                0.03778,                0.01148,                 3.0822,                 3.7676,                 2.2236,               0.009703,               0.009703,               0.009703
                      6,                 2.7976,                 3.4606,                  2.166,                0.52508,                0.05864,                0.03945,                0.01265,                 3.0647,                 3.8229,                 2.1915,               0.009604,               0.009604,               0.009604
                      7,                 2.7552,                 3.3734,                 2.1265,                0.35042,                0.09732,                0.05189,                0.01518,                 3.0538,                 3.7038,                 2.1897,               0.009505,               0.009505,               0.009505
                      8,                 2.7352,                 3.3175,                 2.1145,                0.49638,                0.07177,                 0.0538,                0.01711,                  3.048,                 3.5979,                 2.1873,               0.009406,               0.009406,               0.009406
                      9,                 2.6956,                 3.2404,                 2.0843,                0.50067,                0.09138,                0.06818,                0.02172,                 3.0196,                 3.5268,                 2.1785,               0.009307,               0.009307,               0.009307
                     10,                  2.679,                 3.1948,                 2.0841,                0.59214,                0.10866,                0.07209,                0.02283,                 3.0105,                 3.4792,                 2.1732,               0.009208,               0.009208,               0.009208
                     11,                 2.6717,                 3.1697,                 2.0576,                0.57147,                0.10639,                0.07248,                0.02382,                 2.9979,                 3.5301,                 2.1335,               0.009109,               0.009109,               0.009109
                     12,                 2.6605,                 3.1208,                 2.0379,                0.47501,                0.10042,                  0.074,                0.02359,                 2.9483,                 3.4511,                 2.1058,                0.00901,                0.00901,                0.00901
                     13,                 2.6463,                 3.0963,                  2.033,                 0.4954,                0.12114,                  0.083,                0.02616,                 2.9398,                 3.3268,                 2.0898,               0.008911,               0.008911,               0.008911
                     14,                 2.6275,                 3.0466,                   2.02,                0.51543,                0.11615,                0.08881,                0.02898,                  2.926,                 3.3954,                 2.0905,               0.008812,               0.008812,               0.008812
                     15,                 2.6195,                 3.0287,                 2.0023,                0.43534,                0.13013,                 0.0926,                0.03224,                 2.9213,                 3.3014,                 2.0865,               0.008713,               0.008713,               0.008713
                     16,                 2.6102,                  3.001,                 1.9871,                0.51596,                 0.1276,                0.09459,                0.03177,                 2.8936,                 3.3434,                 2.0681,               0.008614,               0.008614,               0.008614
